证券代码$|$销售人代码2$|$赎回交收天数（天）
16张三$|$103000000003$|$5
22张鸣$|$103000000003$|$3
30张三$|$103000000003$|$1
18张伟$|$103000000003$|$3
38李四$|$103000000003$|$2
29王五$|$103000000003$|$2
39李静$|$103000000003$|$1
21李四$|$103000000003$|$2
12王五$|$103000000003$|$5
28张伟$|$103000000003$|$5
13李四$|$103000000003$|$4
14王五$|$103000000003$|$4
10王五$|$103000000003$|$2
25王五$|$103000000003$|$4
30李四$|$103000000003$|$4
10张伟$|$103000000003$|$1
20张三$|$103000000003$|$2
33李静$|$103000000003$|$1
26张伟$|$103000000003$|$1
24张三$|$103000000003$|$2
13张伟$|$103000000003$|$3
15张鸣$|$103000000003$|$1
34张伟$|$103000000003$|$1
14王五$|$103000000003$|$1
17王五$|$103000000003$|$3
34王五$|$103000000003$|$2
21张三$|$103000000003$|$4
33李四$|$103000000003$|$1
31张鸣$|$103000000003$|$5
19李四$|$103000000003$|$1
26张鸣$|$103000000003$|$1
37王五$|$103000000003$|$4
26张鸣$|$103000000003$|$2
15李四$|$103000000003$|$4
21张伟$|$103000000003$|$1
22李静$|$103000000003$|$4
11张三$|$103000000003$|$3
39张三$|$103000000003$|$1
16李四$|$103000000003$|$5
18李静$|$103000000003$|$3
12张三$|$103000000003$|$1
16张鸣$|$103000000003$|$4
22李静$|$103000000003$|$3
20王五$|$103000000003$|$4
29王五$|$103000000003$|$1
34王五$|$103000000003$|$2
10李四$|$103000000003$|$3
20李四$|$103000000003$|$5
23张鸣$|$103000000003$|$5
28张鸣$|$103000000003$|$4
24李四$|$103000000003$|$1
17李静$|$103000000003$|$4
32李四$|$103000000003$|$1
16张三$|$103000000003$|$1
33张鸣$|$103000000003$|$3
25李静$|$103000000003$|$5
35李静$|$103000000003$|$2
27张三$|$103000000003$|$3
20张鸣$|$103000000003$|$3
30张伟$|$103000000003$|$5
14李四$|$103000000003$|$2
12张三$|$103000000003$|$4
18张三$|$103000000003$|$3
17张鸣$|$103000000003$|$4
37张伟$|$103000000003$|$4
14李静$|$103000000003$|$4
29李四$|$103000000003$|$3
32李四$|$103000000003$|$1
17张三$|$103000000003$|$2
15王五$|$103000000003$|$5
25张三$|$103000000003$|$3
24张三$|$103000000003$|$1
20张伟$|$103000000003$|$5
14王五$|$103000000003$|$1
35张鸣$|$103000000003$|$5
38李四$|$103000000003$|$2
14王五$|$103000000003$|$2
15李静$|$103000000003$|$2
39张三$|$103000000003$|$3
22王五$|$103000000003$|$2
29张鸣$|$103000000003$|$4
24张三$|$103000000003$|$3
27张伟$|$103000000003$|$4
34王五$|$103000000003$|$2
28王五$|$103000000003$|$4
29张鸣$|$103000000003$|$1
16张三$|$103000000003$|$4
19李静$|$103000000003$|$2
34王五$|$103000000003$|$2
28王五$|$103000000003$|$1
11张鸣$|$103000000003$|$5
33张伟$|$103000000003$|$5
33王五$|$103000000003$|$3
31王五$|$103000000003$|$5
20李静$|$103000000003$|$3
15张伟$|$103000000003$|$4
24张伟$|$103000000003$|$1
23张鸣$|$103000000003$|$3
31张鸣$|$103000000003$|$4
20王五$|$103000000003$|$4
11张三$|$103000000003$|$4
35李静$|$103000000003$|$1
30张伟$|$103000000003$|$4
37李四$|$103000000003$|$4
16张鸣$|$103000000003$|$1
25李四$|$103000000003$|$2
11王五$|$103000000003$|$4
24李静$|$103000000003$|$5
15李四$|$103000000003$|$5
26张伟$|$103000000003$|$5
37张三$|$103000000003$|$2
17李静$|$103000000003$|$1
32张鸣$|$103000000003$|$5
26张鸣$|$103000000003$|$5
19张鸣$|$103000000003$|$3
35张伟$|$103000000003$|$1
37李四$|$103000000003$|$5
35王五$|$103000000003$|$2
11李静$|$103000000003$|$3
25李四$|$103000000003$|$3
34张鸣$|$103000000003$|$4
12张鸣$|$103000000003$|$3
23李静$|$103000000003$|$4
33王五$|$103000000003$|$4
24王五$|$103000000003$|$4
38张鸣$|$103000000003$|$3
29李四$|$103000000003$|$2
31李静$|$103000000003$|$3
27李静$|$103000000003$|$3
